ID,HFP,HFM,HFL,X,Y,Prof1,Prof2_or_0
P1A1-0.2,0,0,0,387798.385,1996486.654,0,-0.2
P2A1-0.2,539.26,81.314,0,387783.425,1996507.111,0,-0.2
P3A1-0.2,1835.69,144.04,0,387770.806,1996527.589,0,-0.2
P4A1-0.2,2654.56,0,0,387749.637,1996514.566,0,-0.2
P5A1-0.2,2015.54,164.99,0,387762.466,1996493.378,0,-0.2
P6A1-0.2,1824.87,0,0,387776.287,1996470.281,0,-0.2
P7A1-0.2,3687.14,160.427,0,387754.732,1996455.971,0,-0.2
P8A1-0.2,1589.23,53.183,0,387741.435,1996480.366,0,-0.2
P9A1-0.2,1066.48,23.387,0,387730.053,1996503.75,0,-0.2
P10A1-0.2,876.26,16.288,0,387709.783,1996490.908,0,-0.2
P11A1-0.2,546.89,48.597,0,387720.936,1996466.6,0,-0.2
P12A1-0.2,1548.68,19.119,0,387732.022,1996440.515,0,-0.2
P13A1-0.2,987.15,26.184,0,387709.241,1996426.183,0,-0.2
P14A1-0.2,2456.98,30.759,0,387699.921,1996452.977,0,-0.2
P15A1-0.2,6252.94,18.381,0,387690.238,1996478.777,0,-0.2
P16A1-0.2,5476.22,0,0,387670.166,1996466.137,0,-0.2
P17A1-0.2,9732.2,0,0,387678.453,1996439.536,0,-0.2
P18A1-0.2,1197.97,0,0,387686.421,1996412.304,0,-0.2
P19A1-0.2,0,23.858,0,387666.304,1996399.81,0,-0.2
P20A1-0.2,1460.71,22.507,0,387659.235,1996426.599,0,-0.2
P21A1-0.2,1764.42,60.648,0,387651.785,1996453.482,0,-0.2
P22A1-0.2,0,0,0,387638.777,1996436.354,0,-0.2
P23A1-0.2,2275.32,0,0,387638.137,1996413.357,0,-0.2
P24A1-0.2,778.72,0,0,387644.67,1996383.411,0,-0.2
P25A1-0.2,765.47,135.656,0,387641.236,1996399.149,0,-0.2
P1A1-1.0,1759.62,20.893,0,387798.385,1996486.654,-0.2,-1
P2A1-1.0,3256.11,258.238,0,387783.425,1996507.111,-0.2,-1
P3A1-1.0,1845.65,37.061,14,387770.806,1996527.589,-0.2,-1
P4A1-1.0,654.65,0,0,387749.637,1996514.566,-0.2,-1
P5A1-1.0,3426.26,187.268,0,387762.466,1996493.378,-0.2,-1
P6A1-1.0,847.98,0,0,387776.287,1996470.281,-0.2,-1
P7A1-1.0,1258.98,168.97,0,387754.732,1996455.971,-0.2,-1
P8A1-1.0,645.2,46.534,0,387741.435,1996480.366,-0.2,-1
P9A1-1.0,650.01,54.94,0,387730.053,1996503.75,-0.2,-1
P10A1-1.0,636.45,19.407,0,387709.783,1996490.908,-0.2,-1
P11A1-1.0,3365.65,490.908,0,387720.936,1996466.6,-0.2,-1
